Gene Symbol	Species	Service	OA Publications	Linked Publications	True Positives	False Positives	False Negatives	Precisions	Recall	F1 Score	True Positive Rate	False Discovery Rate
BRCA2	humans	pubmed2ensembl	592	719	388	331	204	.539	.655	.591	.655	.460
BRCA2	humans	opacmo	1102	81	34	47	1068	.419	.030	.055	.030	.580
BRCA2	mice	pubmed2ensembl	48	25	8	17	40	.320	.166	.218	.166	.680
BRCA2	mice	opacmo	102	3	3	0	99	1.000	.029	.056	.029	0
BRCA2	drosophila+melanogaster	pubmed2ensembl	19	0	0	0	19	0	0	0	0	0
BRCA2	drosophila+melanogaster	opacmo	31	8	2	6	29	.250	.064	.101	.064	.750
BRCA2	danio+rerio	pubmed2ensembl	4	0	0	0	4	0	0	0	0	0
BRCA2	danio+rerio	opacmo	9	0	0	0	9	0	0	0	0	0
Myc	humans	pubmed2ensembl	2043	2167	741	1426	1302	.341	.362	.349	.362	.658
Myc	humans	opacmo	4289	46	26	20	4263	.565	.006	.010	.006	.434
Myc	mice	pubmed2ensembl	1090	350	87	263	1003	.248	.079	.119	.079	.751
Myc	mice	opacmo	2086	14	9	5	2077	.642	.004	.007	.004	.357
Myc	drosophila+melanogaster	pubmed2ensembl	427	2	0	2	427	0	0	0	0	1.000
Myc	drosophila+melanogaster	opacmo	737	278	88	190	649	.316	.119	.172	.119	.683
Myc	danio+rerio	pubmed2ensembl	66	1	1	0	65	1.000	.015	.029	.015	0
Myc	danio+rerio	opacmo	139	15	9	6	130	.600	.064	.114	.064	.400
APC	humans	pubmed2ensembl	2470	494	164	330	2306	.331	.066	.108	.066	.668
APC	humans	opacmo	5369	79	41	38	5328	.518	.007	.013	.007	.481
APC	mice	pubmed2ensembl	7845	79	15	64	7830	.189	.001	0	.001	.810
APC	mice	opacmo	15416	13	7	6	15409	.538	0	0	0	.461
APC	drosophila+melanogaster	pubmed2ensembl	133	1	0	1	133	0	0	0	0	1.000
APC	drosophila+melanogaster	opacmo	205	286	76	210	129	.265	.370	.308	.370	.734
APC	danio+rerio	pubmed2ensembl	16	0	0	0	16	0	0	0	0	0
APC	danio+rerio	opacmo	34	2	1	1	33	.500	.029	.054	.029	.500
DCC	humans	pubmed2ensembl	108	106	42	64	66	.396	.388	.391	.388	.603
DCC	humans	opacmo	247	16	13	3	234	.812	.052	.097	.052	.187
DCC	mice	pubmed2ensembl	29	5	1	4	28	.200	.034	.055	.034	.800
DCC	mice	opacmo	63	0	0	0	63	0	0	0	0	0
DCC	drosophila+melanogaster	pubmed2ensembl	37	0	0	0	37	0	0	0	0	0
DCC	drosophila+melanogaster	opacmo	78	68	31	37	47	.455	.397	.423	.397	.544
DCC	danio+rerio	pubmed2ensembl	2	0	0	0	2	0	0	0	0	0
DCC	danio+rerio	opacmo	6	0	0	0	6	0	0	0	0	0
